
-251.16666666	0.00000000
-251.13333333	0.00000002
-251.09999999	-0.00000005
-251.06666666	-0.00000008
-251.03333333	-0.00000015
-250.99999999	-0.00000047
-250.96666666	0.00000022
-250.93333333	-0.00000111
-250.90000000	0.00000068
-250.86666666	-0.00000004
-250.83333333	0.00000031
-250.80000000	-0.00000095
-250.76666666	-0.00000054
-250.73333333	0.00000135
-250.70000000	0.00000423
-250.66666666	-0.00000101
-250.63333333	-0.00000057
-250.60000000	0.00000302
-250.56666666	-0.00000590
-250.53333333	-0.00000397
-250.50000000	-0.00000059
-250.46666667	0.00001189
-250.43333333	0.00000048
-250.40000000	0.00000070
-250.36666667	0.00001856
-250.33333333	-0.00001963
-250.30000000	-0.00001502
-250.26666667	0.00001019
-250.23333333	0.00001061
-250.20000000	0.00001323
-250.16666667	0.00000974
-250.13333334	0.00001106
-250.10000000	0.00001674
-250.06666667	0.00001763
-250.03333334	0.00002121
-250.00000000	0.00000834
-249.96666667	0.00002054
-249.93333334	0.00003586
-249.90000000	0.00005219
-249.86666667	0.00003808
-249.83333334	0.00001673
-249.80000001	0.00002239
-249.76666667	0.00002819
-249.73333334	0.00006873
-249.70000001	0.00002303
-249.66666667	0.00003974
-249.63333334	0.00000376
-249.60000001	0.00000564
-249.56666667	-0.00000870
-249.53333334	0.00002067
-249.50000001	-0.00004106
-249.46666667	0.00004140
-249.43333334	-0.00003909
-249.40000001	-0.00002171
-249.36666668	-0.00002596
-249.33333334	-0.00005126
-249.30000001	0.00001428
-249.26666668	-0.00006020
-249.23333334	0.00000464
-249.20000001	-0.00005869
-249.16666668	0.00001597
-249.13333334	0.00001626
-249.10000001	-0.00000670
-249.06666668	-0.00004503
-249.03333335	-0.00000942
-249.00000001	0.00008075
-248.96666668	-0.00001929
-248.93333335	-0.00007136
-248.90000001	-0.00004731
-248.86666668	0.00006921
-248.83333335	0.00002696
-248.80000001	-0.00002669
-248.76666668	-0.00000585
-248.73333335	0.00006548
-248.70000002	0.00005181
-248.66666668	0.00005110
-248.63333335	0.00001816
-248.60000002	0.00007903
-248.56666668	-0.00000905
-248.53333335	0.00007095
-248.50000002	0.00003456
-248.46666668	0.00018599
-248.43333335	0.00004115
